ind_name	rel	class	class_name	domain_id	abbv	domain_centre
AME - painted domain, BrainName pub		FBbt:00045003	accessory medulla	1	AME	184.85,284.092,46.1711
LO - painted domain, BrainName pub		FBbt:00003852	lobula	2	LO	190.372,294.943,79.0382
NO - painted domain, BrainName pub		FBbt:00003680	nodulus	3	NO	450.263,212.817,60.6433
BU - painted domain, BrainName pub		FBbt:00003682	bulb	4	BU	366.67,145.819,54.723
PB - painted domain, BrainName pub		FBbt:00003668	protocerebral bridge	5	PB	420.529,153.152,102.884
LH - painted domain, BrainName pub		FBbt:00007053	lateral horn	6	LH	223.779,126.652,80.5163
LAL - painted domain, BrainName pub		FBbt:00003681	lateral accessory lobe	7	LAL	388.469,205.731,43.8005
SAD - painted domain, BrainName pub		FBbt:00045048	saddle	8	SAD	406.405,345.947,52.2054
CAN - painted domain, BrainName pub		FBbt:00045051	cantle	9	CAN	444.987,311.928,69.2182
AMMC_AN - painted domain, BrainName pub		FBbt:00003982	antennal mechanosensory and motor center	10	AMMC_AN	361.701,314.027,39.9043
ICL - painted domain, BrainName pub		FBbt:00040049	inferior clamp	11	ICL	347.88,171.705,77.7845
VES - painted domain, BrainName pub		FBbt:00040041	vest	12	VES	443.385,273.023,56.1706
IB - painted domain, BrainName pub		FBbt:00040050	inferior bridge	13	IB	442.024,202.791,92.218
ATL - painted domain, BrainName pub		FBbt:00045039	antler	14	ATL	433.569,136.392,93.6217
CRE - painted domain, BrainName pub		FBbt:00045037	crepine	15	CRE	418.181,130.054,36.6796
MB_PED - painted domain, BrainName pub		FBbt:00007453	pedunculus of adult mushroom body	16	MB_PED	318.493,149.782,64.1247
MB_V_lobes - painted domain, BrainName pub		FBbt:00015407	vertical lobe of adult mushroom body	17	MB_V_lobes	346.111,71.338,50.1206
MB_M_lobes - painted domain, BrainName pub		FBbt:00007677	medial lobe of adult mushroom body	18	MB_M_lobes	431.51,127.656,36.9095
FLA - painted domain, BrainName pub		FBbt:00045050	flange	19	FLA	450.134,314.737,43.5371
MB_ACA - painted domain, BrainName pub		FBbt:00045007	mushroom body accessory calyx	20	MB_ACA	305.177,95.9576,96.5922
LOP - painted domain, BrainName pub		FBbt:00003885	lobula plate	21	LOP	146.017,333.548,92.2636
EB - painted domain, BrainName pub		FBbt:00003678	ellipsoid body	22	EB	450.731,155.093,54.2191
AL - painted domain, BrainName pub		FBbt:00007401	adult antennal lobe	23	AL	430.088,220.338,22.1163
ME - painted domain, BrainName pub		FBbt:00003748	medulla	24	ME	88.8417,315.321,65.0381
FB - painted domain, BrainName pub		FBbt:00003679	fan-shaped body	25	FB	444.393,153.23,71.5638
SLP - painted domain, BrainName pub		FBbt:00007054	superior lateral protocerebrum	26	SLP	282.261,74.0494,74.0789
SIP - painted domain, BrainName pub		FBbt:00045032	superior intermediate protocerebrum	27	SIP	339.275,78.5317,58.7331
SMP - painted domain, BrainName pub		FBbt:00007055	superior medial protocerebrum	28	SMP	433.288,76.8524,65.6932
AVLP - painted domain, BrainName pub		FBbt:00040043	anterior ventrolateral protocerebrum	29	AVLP	276.19,222.943,40.3819
PVLP - painted domain, BrainName pub		FBbt:00040042	posterior ventrolateral protocerebrum	30	PVLP	266.753,217.957,62.6127
IVLP - painted domain, BrainName pub		FBbt:00045027	wedge	31	IVLP	325.226,303.644,62.3676
PLP - painted domain, BrainName pub		FBbt:00040044	posterior lateral protocerebrum	32	PLP	281.379,208.112,85.5676
AOTU - painted domain, BrainName pub		FBbt:00007059	anterior optic tubercle	33	AOTU	286.999,107.381,41.6159
GOR - painted domain, BrainName pub		FBbt:00040039	gorget	34	GOR	386.176,209.564,70.2635
MB_CA - painted domain, BrainName pub		FBbt:00007385	calyx of adult mushroom body	35	MB_CA	315.471,128.974,107.743
SPS - painted domain, BrainName pub		FBbt:00045040	superior posterior slope	36	SPS	407.149,254.582,87.0251
IPS - painted domain, BrainName pub		FBbt:00045046	inferior posterior slope	37	IPS	406.488,316.676,88.6236
SCL - painted domain, BrainName pub		FBbt:00040048	superior clamp	38	SCL	317.965,124.805,74.9608
EPA - painted domain, BrainName pub		FBbt:00040040	epaulette	39	EPA	357.957,224.399,60.0999
mALT - painted domain, BrainName pub		FBbt:00003985	medial antennal lobe tract	40	mALT	440.169,180.541,72.6541
AOT - painted domain, BrainName pub		FBbt:00100337	optic anterior tract	41	AOT	226.17,175.082,62.8267
POC - painted domain, BrainName pub		FBbt:00007427	posterior optic commissure	42	POC	312.778,283.092,84.0615
GC - painted domain, BrainName pub		FBbt:00007080	great commissure	43	GC	403.787,233.636,72.8754
labro_frontal_nerve - painted domain, BrainName pub		FBbt:00110653	labro frontal nerve	44	labro_frontal_nerve	423.362,475.029,107.587
max_lab_nerve - painted domain, BrainName pub		FBbt:00004043	adult maxillary nerve	46	max_lab_nerve	371.999,362.557,6.58298
